State,Location,Address,City,Facility,Hours,Phone.Number,Eligibility,Link,lon,lat,geoAddress
Alabama,UAB Medicine,University Blvd & 22nd Street S,Birmingham,Drive-thru,9-1:30,205-975-1881,"appt only, call to schedule",https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/,-97.6883377,30.5606194,"250 university blvd, round rock, tx 78665, usa"
Alabama,Northeast Alabama Health Services,29810 Alabama Hwy 71,Bryant,Drive-thru,M-F 1pm - 4pm,256-597-4114,,https://neahsi.com/,-85.6164302,34.8530124,"29810 al-71, bryant, al 35958, usa"
Alabama,Cahaba Medical Care,195 Hospital Drive,Centreville,Clinic,,205-926-2992,go to \u201Cspecialty clinic\u201D check-in,,-91.5598024,36.2594774,"195 hospital dr # d, cherokee village, ar 72529, usa"
Alabama,Chilton County Health Department,301 Health Center Drive,Clanton,Drive-thru,Wednesdays 10-12,(205) 755-1287,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24.html,-86.6258684,32.8561513,"301 health center dr, clanton, al 35045, usa"
Alabama,Cullman Regional Screening Site,1958 Alabama Highway 157,Cullman,Drive-thru,M-F 10-2,256-735-5530,,https://cullmanregional.com/cullman-regional-now-offering-covid-19-antibody-testing/,-86.80721,34.2009473,"1958 al-157, cullman, al 35058, usa"
Alabama,Whitfield Regional Hospital parking lot,105 US Highway 80 East,Demopolis,Drive-thru,MWF 9-1,,email covid19@bwwmh.com for more info,https://sewell.house.gov/coronavirus,-96.4669848,32.755147,"105 e us hwy 80, forney, tx 75126, usa"
Alabama,Walmart,1701 US-43,Demopolis,Drive-thru,Tues 10 a.m. - 3 p.m.,,,https://corporate.walmart.com/covid19testing,-87.8122154,32.4972123,"1701 us-43, demopolis, al 36732, usa"
Alabama,Enterprise Civic Center,2401 Neil Metcalf Road ,Enterprise,Drive-thru,,,,https://www.wtvy.com/wrgx/content/news/COVID-19-drive-thru-testing-site-in-Enterprise-569451651.html,-85.8682629,31.3612316,"2401 neil metcalf rd, enterprise, al 36330, usa"
Alabama,Northeast Alabama Health Services,3840 Gault Avenue North,Fort Payne,Drive-thru,M-F 1pm - 4pm,256-844-4975,,https://neahsi.com/,-85.6878069,34.4827318,"3840 gault ave n, fort payne, al 35967, usa"
Alabama,DeKalb Regional Medical Center,421 Medical Center Drive SW,Fort Payne,Drive-thru,M-F 9-3:30,256-997-2708,call for appt,https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/,-85.7557887,34.4394341,"421 medical center dr sw, fort payne, al 35968, usa"
Alabama,Hale County Hospital,508 Greene Street,Greensboro,Drive-thru,M-F 8-5,334-507-3815,,https://halecountyhospital.com/covid19,-87.5874393,32.6947556,"508 greene st, greensboro, al 36744, usa"
Alabama,Ross Bridge Medical Center,3635 Market Street,Hoover,Drive-thru,M-F 8-5,205-92COVID,appt only,www.covidalabama.com,-117.3755755,33.9844102,"3635 market street, riverside, ca 92501, usa"
Alabama,Walker County Health Department,705 20th Avenue East,Jasper,Drive-thru,Thursdays 10-12,(205) 221-9775,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24c.html,-87.2512588,33.8422851,"705 20th ave e, jasper, al 35501, usa"
Alabama,Respiratory Virus Evaluation Clinic,1303 Washington Street,Marion,Clinic,,334-247-1006,use side-entrance check-in and waiting room area,,-87.5782717,37.8296723,"1303 washington st # 2g, henderson, ky 42420, usa"
Alabama,The Grounds in Mobile,1035 Cody Rd N,Mobile,Drive-thru,,,Waiting for testing kits,,-88.2102186,30.7105058,"1035 cody rd n, mobile, al 36608, usa"
Alabama,Ladd-Peebles Stadium,1621 Virginia St,Mobile,Drive-thru,2-Aug,1-888-872-2650,appt only,https://www.usahealthsystem.com/news/usa-health-2600-patients-tested,-88.0760296,30.6726713,"1621 virginia st, mobile, al 36604, usa"
Alabama,Diagnostic and Medical Clinic,1700 Springhill Ave,Mobile,Drive-thru,5-Aug,,screening required at location,https://diagnosticandmedical.com/coronavirus/,-88.0784383,30.692719,"1700 spring hill ave, mobile, al 36604, usa"
Alabama,Greater Mobile Urgent Care,2350 Schillinger Road,Mobile,Drive-thru,,251-633-0123,,http://greatermobileurgentcare.com/coronavirus-testing.html,-88.2251817,30.6420511,"2350 schillinger rd, mobile, al 36695, usa"
Alabama,Infirmary Health,5 Mobile Infirmary Circle,Mobile,Drive-thru,2-Oct,251-341-CV19,,https://www.infirmaryhealth.org/coronavirus-covid-19,-88.0804373,30.6967327,"5 mobile infirmary cir, mobile, al 36607, usa"
Alabama,Diagnostic and Medical Clinic,831 C Hillcrest Road,Mobile,Drive-thru,5-Aug,,screening required at location,https://diagnosticandmedical.com/coronavirus/,-88.1895101,30.6751453,"831 hillcrest rd, mobile, al 36695, usa"
Alabama,Monroe County Hospital,2016 South Alabama Avenues,Monroeville,Clinic,M-S 6:30-5,251-575-3111,call first,https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/,-88.184236,30.6959406,"307 n university blvd, mobile, al 36688, usa"
Alabama,Monroe County Health Department,416 Agricultural Drive,Monroeville,Drive-thru,Tuesdays 10-12,(251) 575-3109,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/23.html,-87.3297576,31.4908275,"416 agriculture dr, monroeville, al 36460, usa"
Alabama,Baptist Health,2936 Marti Lane,Montgomery,Drive-thru,7-Jul,334-747-0150,,https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/,-86.2544676,32.3266056,"2936 marti ln, montgomery, al 36116, usa"
Alabama,Walmart,6495 Atlanta Hwy,Montgomery,Drive-thru,"Tue, Thurs 7 a.m. - 9 a.m.",,,https://corporate.walmart.com/covid19testing,-86.1848707,32.3851579,"6495 atlanta hwy, montgomery, al 36117, usa"
Alabama,Walmart,1095 Industrial Pkwy,Saraland,Drive-thru,"Mon, Wed, Fri 7 a.m. - 9 a.m.",,,https://corporate.walmart.com/covid19testing,-88.0969451,30.7995566,"1095 industrial pkwy, saraland, al 36571, usa"
Alabama,Northeast Alabama Health Services,21680 Alabama Hwy 79,Scottsboro,Drive-thru,M-F 1 pm - 3:30 pm,256-587-3050,,https://neahsi.com/,-86.1206228,34.8015845,"21680 al-79, scottsboro, al 35768, usa"
Alabama,Northeast Alabama Health Services,70 Freedom Drive,Scottsboro,Drive-thru,M-F 1pm - 4pm,256-574-5508,,https://neahsi.com/,-80.9016744,35.2525338,"freedom dr, charlotte, nc, usa"
Alabama,Walmart,108 W Dallas Ave,Selma,Drive-thru,"Mon, Fri 10 a.m. - 3 p.m.",,,https://corporate.walmart.com/covid19testing,-87.051126,32.4061563,"108 w dallas ave, selma, al 36701, usa"
Alabama,Walmart,300 Medical Park Drive,Thomasville,Drive-thru,"Wed, Thurs 10 a.m. - 3 p.m.",,,https://corporate.walmart.com/covid19testing,-82.4245503,28.0713234,"medical park dr, university, fl 33613, usa"
Alabama,Troy University Soccer Complex,326 Veterans Memorial Drive,Troy,Drive-thru,April 30 10-12,(334) 792-9070,symptomatic/10+ years or older; referral,https://www.alabamapublichealth.gov/news/2020/04/24e.html,-114.8641864,35.9727079,"326 veterans memorial dr, boulder city, nv 89005, usa"
Alabama,Tuscaloosa County Health Department,2350 Hargrove Road East,Tuscaloosa,Drive-thru,Fridays 10-12,205-562-6900,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24d.html,-87.506581,33.1795928,"2350 hargrove rd e, tuscaloosa, al 35405, usa"
Alabama,EAMC-Lanier,4800 48th Street,Valley,Drive-thru,"M-F 10-12, 1-4",334-528-SICK,appt only,https://www.eamc.org/patient-and-guests/covid-19-information/,-92.3826062,44.0692895,"4800 48th st ne, rochester, mn 55906, usa"
Alabama,Baptist Health Drive-up,350 County Road 4,West Prattville,Drive-thru,,,,https://www.baptistfirst.org/services/coronavirus-care-clinic,-74.0648945,40.7595899,"350 county rd, secaucus, nj 07094, usa"
Alabama,Christ Health,5705 First Ave North,Woodlawn,Clinic,,,text SICK to 74000 for pre screening,https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/,-86.7498284,33.5416608,"5705 1st ave n, birmingham, al 35212, usa"
Alaska,,4115 Lake Otis Pkwy,Anchorage,Drive-thru,7-Sep,,,,-149.8369945,61.1829379,"4115 lake otis pkwy, anchorage, ak 99508, usa"
Alaska,Eagle River,16620 Brooks Loop,Eagle River,Drive-thru,10:00am - 4:00 pm,,,https://www.thelittleclinic.com/drivethru-testing,-149.5720818,61.3208223,"16620 brooks loop, eagle river, ak 99577, usa"
Alaska,Fairbanks' Foundation Health Partners,9th Avenue & Noble Street,Fairbanks,Drive-thru,,907-458-2888,,https://www.medexpress.com/location/ar/north-little-rock/nla/,-73.9847724,40.7692123,"9th ave, new york, ny, usa"
Arizona,CVS Health COVID-19 Testing Site,325 West Apache Trail,Apache Junction,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-111.5496969,33.4142849,"325 west apache trail, apache junction, az 85120, usa"
Arizona,CVS Health COVID-19 Testing Site,5400 East Carefree Highway/PO Box 5482,Carefree,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-111.9644649,33.799891,"5400 e carefree hwy, carefree, az 85377, usa"
Arizona,NextCare Urgent Care,1683 E Florence Blvd,Casa Grande,Drive-thru,,520-876-0800,,https://nextcare.com/coronavirus-covid-19/,-111.7154301,32.8786765,"1683 e florence blvd, casa grande, az 85122, usa"
Arizona,CVS Health COVID-19 Testing Site,180 North Dobson Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.8771044,33.3051017,"180 n dobson rd, chandler, az 85224, usa"
Arizona,FastMED Urgent Care,2875 W Ray Rd Suite 8,Chandler,Clinic,,480-899-3070,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.892119,33.3185635,"2875 w ray rd #8, chandler, az 85224, usa"
Arizona,CVS Health COVID-19 Testing Site,2995 East Chandler Heights Road,Chandler,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-111.7902051,33.2330504,"2995 e chandler heights rd, chandler, az 85249, usa"
Arizona,FastMED Urgent Care,3705 S Arizona Ave Suite 1,Chandler,Clinic,,480-214-7828,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.8407115,33.2515235,"3705 s arizona ave #1, chandler, az 85286, usa"
Arizona,CVS Health COVID-19 Testing Site,3990 West Ray Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.9102831,33.3206841,"3990 w ray rd, chandler, az 85226, usa"
Arizona,CVS Health COVID-19 Testing Site,5975 West Chandler Boulevard,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.9448434,33.3047029,"5975 w chandler blvd, chandler, az 85226, usa"
Arizona,NextCare Urgent Care,600 S Dobson Rd,Chandler,Drive-thru,,480-814-1560,,https://nextcare.com/coronavirus-covid-19/,-111.8762761,33.404001,"600 s dobson rd, mesa, az 85202, usa"
Arizona,CVS Health COVID-19 Testing Site,990 East Pecos Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.8253252,33.2923435,"990 e pecos rd, chandler, az 85225, usa"
Arizona,CVS Health COVID-19 Testing Site,990 East Warner Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.8252649,33.3358899,"990 e warner rd, chandler, az 85225, usa"
Arizona,Thumb Butte,87 S State Route 89,Chino Valley,Clinic,,928.208.4309,,https://www.thumbbuttemedicalcenter.com/,-112.4540588,34.7446485,"87 az-89, chino valley, az 86323, usa"
Arizona,CVS Health COVID-19 Testing Site,1179 South State Route 260,Cottonwood,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-112.0009216,34.7189108,"1179 az-260, cottonwood, az 86326, usa"
Arizona,Northern Arizona Healthcare,269 S Candy Ln,Cottonwood,Drive-thru,"Monday, May 18, the site will be open on Mondays and Thursdays from 8 a.m. to noon.",1-833-708-0894,,https://www.nahealth.com/covid-19-resources/testing-tiers-and-locations,-112.0290068,34.7354076,"269 s candy ln, cottonwood, az 86326, usa"
Arizona,Walgreens,15385 N Dysart Rd,El Mirage,Drive-thru,9am-5pm,,Appointment only \u2013 complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx,-112.341321,33.6229581,"15385 n dysart rd, el mirage, az 85335, usa"
Arizona,Northern Arizona Healthcare,2446 Fort Tuthill Loop,Flagstaff,Drive-thru,, 928-679-7300,,https://www.nahealth.com/covid-19-resources/testing-tiers-and-locations,-111.6927613,35.1412672,"2446 fort tuthill loop, flagstaff, az 86004, usa"
Arizona,Flagstaff Urgent Care,2700 S Woodlands Village Blvd Suite 700,Flagstaff,Clinic,,(928) 440-5406,,https://www.flagstaffurgentcare.com/,-111.6647683,35.1764629,"2700 s woodlands village blvd #700, flagstaff, az 86001, usa"
Arizona,,446 Fort Tuthill Loop,Flagstaff,Drive-thru,3-Oct,928-679-7300,,https://www.fox10phoenix.com/news/list-coronavirus-testing-locations-in-arizona,-111.6943279,35.1416792,"fort tuthill, az 86004, usa"
Arizona,FastMED Urgent Care,495 N Pinal Pkwy Suite 106,Florence,Clinic,,520-868-0573,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.3785886,33.0361215,"495 n pinal pkwy ave #106, florence, az 85132, usa"
Arizona,CVS Health COVID-19 Testing Site,4744 South Highway 95,Fort Mohave,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-117.0198058,46.8191546,"4744 us-95, viola, id 83872, usa"
Arizona,CVS Health COVID-19 Testing Site,2428 South Val Vista Drive,Gilbert,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.7563424,33.3061257,"2428 s val vista dr, gilbert, az 85295, usa"
Arizona,Carespot ,2487 South Gilbert Road Suite 108,Gilbert,Clinic,,480-485-4789,,https://www.carespot.com/covid19-visitor-info/,-111.7875501,33.3053325,"2487 s gilbert rd #108, gilbert, az 85295, usa"
Arizona,CVS Health COVID-19 Testing Site,3170 South Higley Road,Gilbert,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.7220139,33.2930708,"3170 s higley rd, gilbert, az 85295, usa"
Arizona,NextCare Urgent Care,6343 South Higley Road,Gilbert,Drive-thru,,480-748-2712,,https://nextcare.com/coronavirus-covid-19/,-111.7196849,33.2349194,"6343 s higley rd, gilbert, az 85298, usa"
Arizona,CVS Health COVID-19 Testing Site,765 South Lindsay Road,Gilbert,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.7721792,33.3364554,"765 s lindsay rd, gilbert, az 85296, usa"
Arizona,CVS Health COVID-19 Testing Site,2371 East Guadalupe Street,Gilbert,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-111.7395741,33.3641347,"2371 e guadalupe rd, gilbert, az 85234, usa"
Arizona,Redirect Health Centers Clinic,16390 N 59th Ave Suite 200,Glendale,Drive-thru,,623-334-4000,,https://redirecthealth.com/,-112.1863576,33.6348355,"16390 n 59th ave #200, glendale, az 85306, usa"
Arizona,NextCare Urgent Care,18589 N 59th Ave,Glendale,Drive-thru,,602-547-2600,,https://nextcare.com/coronavirus-covid-19/,-112.1846911,33.6537251,"18589 n 59th ave, glendale, az 85308, usa"
Arizona,FastMED Urgent Care,3730 W Happy Valley Rd Suite 100,Glendale,Clinic,,623-277-4140,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-112.1397613,33.7132887,"3730 w happy valley rd #100, glendale, az 85310, usa"
Arizona,CVS Health COVID-19 Testing Site,7499 West Bethany Home Road,Glendale,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-112.2198663,33.5225886,"7499 w bethany home rd, glendale, az 85303, usa"
Arizona,NextCare Urgent Care,9494 W Northern Ave Suite 101,Glendale,Drive-thru,,623-872-2226,,https://nextcare.com/coronavirus-covid-19/,-112.2627135,33.5518171,"9494 w northern ave #101, glendale, az 85305, usa"
Arizona,CVS Health COVID-19 Testing Site,5125 West Olive Avenue,Glendale,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-112.1697545,33.566592,"5125 w olive ave, glendale, az 85302, usa"
Arizona,FastMED Urgent Care,1507 N Litchfield Rd Suite 200,Goodyear,Clinic,,623-215-0040,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-112.3575733,33.4630611,"1507 n litchfield rd #200, goodyear, az 85395, usa"
Arizona,CVS Health COVID-19 Testing Site,2840 North Dysart Road,Goodyear,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-112.3418333,33.4781773,"2840 n dysart rd, goodyear, az 85395, usa"
Arizona,CVS Health COVID-19 Testing Site,5050 West Baseline Road,Laveen,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-112.167348,33.3783182,"5050 w baseline rd, laveen village, az 85339, usa"
Arizona,Carespot ,5130 W Baseline Road,Laveen,Clinic,,602-833-1143,,https://www.carespot.com/covid19-visitor-info/,-112.1692215,33.3793059,"5130 w baseline rd, laveen village, az 85339, usa"
Arizona,Carespot ,13840 West Camelback Road Suite 10,Litchfield Park,Clinic,,928-723-4828,,https://www.carespot.com/covid19-visitor-info/,-112.357387,33.5089832,"13840 w camelback rd #10, litchfield park, az 85340, usa"
Arizona,CVS Health COVID-19 Testing Site,4890 North Litchfield Road,Litchfield Park,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-112.3586909,33.5074897,"4890 n litchfield rd, litchfield park, az 85340, usa"
Arizona,FastMED Urgent Care,7850 N Silverbell Rd Suite 132,Marana,Clinic,,520-407-5884,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.1000188,32.3486182,"7850 n silverbell rd #132, tucson, az 85743, usa"
Arizona,NextCare Urgent Care,1066 N Power Rd Suite 101,Mesa,Drive-thru,,480-807-0130,,https://nextcare.com/coronavirus-covid-19/,-111.6849836,33.4357117,"1066 n power rd #101, mesa, az 85205, usa"
Arizona,CVS Health COVID-19 Testing Site,1151 East McKellips Road,Mesa,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.805521,33.4506209,"1151 e mckellips rd, mesa, az 85203, usa"
Arizona,Banner Desert Medical Center,1400 S Dobson Rd,Mesa,Drive-thru,,,no call required; charged as ER visit,,-111.8773528,33.3899517,"1400 s dobson rd, mesa, az 85202, usa"
Arizona,FastMED Urgent Care,1810 S Power Rd Suite 101,Mesa,Clinic,,480-214-0045,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.6862284,33.3832095,"1810 s power rd #101, mesa, az 85206, usa"
Arizona,Maready Medical,4135 S Power Rd Suite 113,Mesa,Drive-thru,,480-626-2444,,https://www.mareadymedical.com/covid-19,-111.6857476,33.3405361,"4135 s power rd #113, mesa, az 85212, usa"
Arizona,FastMED Urgent Care,415 N Val Vista Dr Suite 101,Mesa,Clinic,,480-654-5661,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.7523362,33.4231844,"415 n val vista dr #101, mesa, az 85205, usa"
Arizona,CVS Health COVID-19 Testing Site,5954 East McDowell Road,Mesa,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.7022644,33.4669587,"5954 e mcdowell rd, mesa, az 85215, usa"
Arizona,CVS Health COVID-19 Testing Site,6015 East Brown Road,Mesa,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.7010068,33.4367854,"6015 e brown rd, mesa, az 85205, usa"
Arizona,CVS Health COVID-19 Testing Site,7547 East Southern Avenue,Mesa,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.6685412,33.3927751,"7547 e southern ave, mesa, az 85209, usa"
Arizona,FastMED Urgent Care,835 W University Dr,Mesa,Clinic,,480-664-6007,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.8494759,33.4218396,"835 w university dr, mesa, az 85201, usa"
Arizona,CVS Health COVID-19 Testing Site,9230 E Broadway Road,Mesa,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.6320087,33.4085006,"9230 e broadway rd, mesa, az 85208, usa"
Arizona,NextCare Urgent Care,298 W Mariposa Rd,Nogales,Drive-thru,,(520) 394-7388,,https://nextcare.com/coronavirus-covid-19/,-110.935156,31.3674981,"298 w mariposa rd, nogales, az 85621, usa"
Arizona,CVS Health COVID-19 Testing Site,10650 North Oracle Road,Oro Valley,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-110.955274,32.3989834,"10650 n oracle rd, oro valley, az 85737, usa"
Arizona,Southern Arizona Urgent Care Plus,1880 E Tangerine Rd Suite 100 ,Oro Valley,Clinic,, (520) 900-7006,,https://southernarizonaurgentcare.com/covid-19/,-110.9447492,32.4261692,"1880 e tangerine rd #100, oro valley, az 85755, usa"
Arizona,Southern Arizona Urgent Care Plus,7725 N Oracle Rd Suite 131,Oro Valley,Clinic,,(520) 544-2273,,https://southernarizonaurgentcare.com/covid-19/,-110.9764168,32.347963,"7725 n oracle rd #131, oro valley, az 85704, usa"
Arizona,CVS Health COVID-19 Testing Site,10727 West Olive Avenue,Peoria,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-112.2904771,33.5649658,"10727 w olive ave, peoria, az 85345, usa"
Arizona,Carespot ,21471 N Lake Pleasant Parkway Suite 1710,Peoria,Clinic,,623-300-1421,,https://www.carespot.com/covid19-visitor-info/,-112.2782429,33.6789946,"21471 n lake pleasant pkwy #1710, peoria, az 85382, usa"
Arizona,Carespot ,24874 N 67th Ave,Peoria,Clinic,,602-313-1561,,https://www.carespot.com/covid19-visitor-info/,-112.2039853,33.7104607,"24874 n 67th ave, peoria, az 85383, usa"
Arizona,CVS Health COVID-19 Testing Site,8332 West Thunderbird Road,Peoria,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-112.2383086,33.6105378,"8332 w thunderbird rd, peoria, az 85381, usa"
Arizona,CVS Health COVID-19 Testing Site,9172 West Union Hills Drive,Peoria,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-112.255633,33.6532783,"9172 w union hills dr, peoria, az 85382, usa"
Arizona,CVS Health COVID-19 Testing Site,9856 West Peoria Avenue,Peoria,Drive-thru,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,,-112.2716532,33.5808214,"9856 w peoria ave, peoria, az 85345, usa"
Arizona,CVS Health COVID-19 Testing Site,10707 West Camelback Road,Phoenix,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-112.2908867,33.507588,"10707 w camelback rd, phoenix, az 85037, usa"
Arizona,CVS Health COVID-19 Testing Site,1625 North 44th Street,Phoenix,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-111.9866226,33.4664848,"1625 n 44th st, phoenix, az 85008, usa"
Arizona,NextCare Urgent Care,1701 E Thomas Rd,Phoenix,Drive-thru,,602-845-4445,,https://nextcare.com/coronavirus-covid-19/,-112.0445588,33.4799146,"1701 e thomas rd, phoenix, az 85016, usa"
Arizona,CVS Health COVID-19 Testing Site,1850 West Dunlap Avenue,Phoenix,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-112.098916,33.5681016,"1850 w dunlap ave, phoenix, az 85021, usa"
Arizona,CVS Health COVID-19 Testing Site,1855 West Thunderbird Road,Phoenix,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,,-112.0991488,33.6102526,"1855 w thunderbird rd, phoenix, az 85023, usa"
Arizona,FastMED Urgent Care,2301 N 44th St,Phoenix,Clinic,,602-808-8786,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/,-111.9866695,33.4731746,"2301 n 44th st, phoenix, az 85008, usa"
